,semaine,inc_grippe,inc_gastro,inc_varicelle,gaspillage_volume,reel_std_annee,prevision,effectif,greves,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,fete_musulmane,ramadan,fete_chretienne,fete_juive,porc,viande,poisson,bio,noel,frites,an_chinois,reel
semaine,1.0,-0.41706303384127036,-0.12494136754303299,-0.25989142724985914,-0.07744148425113652,-0.07529796088485483,-0.00616782763207871,0.16669000292858374,0.011122421428271662,-0.0033697099126119776,0.012661635484288523,-0.014065410565572317,-0.11612038223593119,-0.07992056530015063,0.04753476414697099,0.05667219098614579,-0.039965836371673745,-0.10283510625604107,0.11463223405009294,-0.008839142667610315,0.02772704822277708,0.010135367017663155,0.05350392556424984,0.1292174208555131,0.019585625405636922,-0.07449875241355453,0.02287704979838894
inc_grippe,-0.41706303384127036,1.0,0.4410321447606628,0.09948859187856926,0.09244012603846731,-0.15866169624213208,0.07727906684886547,0.015816263698374633,0.009533134413225492,-0.014258626310262852,-0.050272514637009755,-0.04956405063235196,0.006395295884072853,0.03876490128948289,0.051619111588327285,-0.04066429474288085,-0.11662852223635102,0.0795244668104108,-0.06154258463048571,0.007002270832578745,-0.028845911711453738,-0.011678807006451174,0.006424514030703754,0.028978658243834325,-0.026876178293562397,0.08277222166832848,0.04366719577359651
inc_gastro,-0.12494136754303299,0.4410321447606628,1.0,0.17025116699645992,0.1274613204956321,-0.35094969990142105,0.2752136971169875,0.4093628651956666,0.07513104641342547,-0.024841561055711833,-0.03435118908559646,-0.032213633078724324,-0.0038443635916637145,0.06042764069577917,0.022555788043844276,0.003284125520517296,-0.03920930205904073,0.0862440653279947,-0.045880434407858946,0.009235461321355191,0.04264266349569596,0.05550846741798581,0.16066238711213005,0.0667123501227495,0.014104381850163817,0.03074894573776689,0.2314208540632451
inc_varicelle,-0.25989142724985914,0.09948859187856926,0.17025116699645992,1.0,0.16210793730987427,-0.1590983282838082,0.1445304587015263,0.24607380561243888,0.19713546998189163,0.03758881206282937,-0.03462219150741456,0.05626798611593852,0.07041557785037304,0.002600200765775403,-0.0288298263484413,-0.038384631309629276,0.14120430362210268,0.04850144967857095,-0.08136862328280903,-0.059625550206821684,-0.020030883443742754,0.004766077453037836,0.10851654871875781,-0.002995674424972701,-0.03358484839152617,0.0048029409836370576,0.08572326963371509
gaspillage_volume,-0.07744148425113652,0.09244012603846731,0.1274613204956321,0.16210793730987427,1.0,-0.1157505594700659,0.2252556750493709,0.22253064088859817,0.3646773604474812,-0.02662083909203762,0.05680984100819199,-0.03328218038556307,-0.05296182632865986,-0.026945489770242696,0.002161383477236455,0.034105517746742316,0.07905643338316477,0.0356536357341031,0.010246343787033447,0.010796920130282047,-0.03210606594227483,-0.04201785372464129,0.01592019476337626,0.015708282620463337,-0.05567181968519663,0.0007319525081533468,-0.14759600029855025
reel_std_annee,-0.07529796088485483,-0.15866169624213208,-0.35094969990142105,-0.1590983282838082,-0.1157505594700659,1.0,-0.4175678226638772,-0.4981071735095036,0.04880688543455887,0.029106054473419816,-0.015907749168728794,-0.00787675977011751,-0.09512519963037644,0.0026218570213548367,0.007301367179103905,0.01684241067576934,-0.12092910981580057,-0.04041546747696748,0.008138016126629037,0.02848890352185535,0.03812249530840155,-0.014818882133195734,-0.1364506957477355,-0.011229615476773414,-0.00852270519498239,0.03959742224294879,-0.3803361117942114
prevision,-0.00616782763207871,0.07727906684886547,0.2752136971169875,0.1445304587015263,0.2252556750493709,-0.4175678226638772,1.0,0.5016917626033911,-0.20422806164409607,-0.15733761347903458,0.008451671469631095,-0.013402208531977412,-0.06644313607529029,0.005787650139941389,0.025993047077055947,-0.03498013076161252,0.08633361745652351,0.05123387372068361,0.01614026627658248,-0.021389460291889133,-0.04370992452909019,0.12388015850676531,0.1648147111606592,0.06229080045166657,0.03238019082805051,-0.0029669953552907374,0.9303820616515743
effectif,0.16669000292858374,0.015816263698374633,0.4093628651956666,0.24607380561243888,0.22253064088859817,-0.4981071735095036,0.5016917626033911,1.0,0.14402828728332187,-0.043489166221908966,-0.025374672510195168,-0.001086994895751396,0.028095174845622035,-0.016369412842578247,-0.005376199507832347,0.0340277229281126,0.1699133668640326,0.0028072978900299584,0.013904863934594754,-0.050661569653573504,0.03504365146412233,0.02581028678358949,0.284581154479023,0.004118395212918773,0.014762033822081926,-0.041968671147932284,0.4255562205072629
greves,0.011122421428271662,0.009533134413225492,0.07513104641342547,0.19713546998189163,0.3646773604474812,0.04880688543455887,-0.20422806164409607,0.14402828728332187,1.0,-0.009037640495994637,0.015072197093535989,-0.004330425859812263,-0.05263157894736848,-0.05180557439839491,-0.013763613571674407,0.03210814703340278,-0.03668063433879841,0.010671551802317497,0.019548872180451156,0.013733650820566544,-0.0007699912946467873,-0.04965105634299552,0.026442116740383343,0.010621463693967043,0.010809494254052948,-0.01809816593172045,-0.3445334865623357
ferie,-0.0033697099126119776,-0.014258626310262852,-0.024841561055711833,0.03758881206282937,-0.02662083909203762,0.029106054473419816,-0.15733761347903458,-0.043489166221908966,-0.009037640495994637,1.0,-0.0033913360463883775,-0.0042555410824429134,-0.004906147697825666,-0.004829150191815187,-0.004751041324939542,-0.0044262955878944564,-0.007039635615364324,-0.008359725610087635,-0.004906147697825652,-0.011574613821870897,-0.032953687614803204,-0.016757684636715155,-0.02307213938340251,-0.002389893952899819,-0.005276154673518956,-0.0016870532272947644,-0.14970285079878706
veille_ferie,0.012661635484288523,-0.050272514637009755,-0.03435118908559646,-0.03462219150741456,0.05680984100819199,-0.015907749168728794,0.008451671469631095,-0.025374672510195168,0.015072197093535989,-0.0033913360463883775,1.0,-0.01713074823542321,-0.01974977550187475,-0.01943982081816539,-0.019125392333637,-0.01781812320990602,0.003542270626097918,-0.03365220825489522,-0.01974977550187474,-0.004144846512178672,-0.00014871703254565617,0.016864581433872136,0.027055550711478523,-0.009620556075793993,-0.021239244460852284,-0.006791259568795979,-0.012795744538455488
retour_ferie,-0.014065410565572317,-0.04956405063235196,-0.032213633078724324,0.05626798611593852,-0.03328218038556307,-0.00787675977011751,-0.013402208531977412,-0.001086994895751396,-0.004330425859812263,-0.0042555410824429134,-0.01713074823542321,1.0,0.11796497432572867,0.04805542751913685,-0.023999064581142465,-0.022358667585459627,-0.009956660929198892,-0.020176492598842827,-0.024782557631455603,0.009713440228303947,0.05819377014450411,-0.05756101352492507,-0.04430734083879852,-0.012072136484406262,-0.026651583955963502,-0.008521857964303655,-0.0010822793969459824
vacances,-0.11612038223593119,0.006395295884072853,-0.0038443635916637145,0.07041557785037304,-0.05296182632865986,-0.09512519963037644,-0.06644313607529029,0.028095174845622035,-0.05263157894736848,-0.004906147697825666,-0.01974977550187475,0.11796497432572867,1.0,-0.028123026101985745,-0.027668151514389915,0.008592321037107775,-0.04099600308453939,0.009094752591420958,-0.02857142857142858,0.036804443007255085,0.06626454494519754,-0.014786364741644463,0.0023367452003128643,-0.013917780012784401,0.027491863339048014,0.07859774918918602,-0.047521400525123055
retour_vacances,-0.07992056530015063,0.03876490128948289,0.06042764069577917,0.002600200765775403,-0.026945489770242696,0.0026218570213548367,0.005787650139941389,-0.016369412842578247,-0.05180557439839491,-0.004829150191815187,-0.01943982081816539,0.04805542751913685,-0.028123026101985745,1.0,-0.027233925153150935,0.044401730142592306,-0.0403526082688256,0.049828516176085996,-0.028123026101985745,-0.021013597135869217,0.08364841059276704,-0.07204381596421114,-0.014842652894039458,-0.013699353170343102,-0.030243980560807127,-0.00967052866502102,0.016013805592490236
veille_vacances,0.04753476414697099,0.051619111588327285,0.022555788043844276,-0.0288298263484413,0.002161383477236455,0.007301367179103905,0.025993047077055947,-0.005376199507832347,-0.013763613571674407,-0.004751041324939542,-0.019125392333637,-0.023999064581142465,-0.027668151514389915,-0.027233925153150935,1.0,-0.0249620322330727,-0.03969992686896008,0.01241701704892205,0.03659336168032214,-0.04992823767496464,-0.16455056204213547,0.13718428371922436,0.03248312969151874,-0.013477773614818335,0.00025258744221746845,-0.009514113145496805,0.025573260619908212
fete_musulmane,0.05667219098614579,-0.04066429474288085,0.003284125520517296,-0.038384631309629276,0.034105517746742316,0.01684241067576934,-0.03498013076161252,0.0340277229281126,0.03210814703340278,-0.0044262955878944564,-0.01781812320990602,-0.022358667585459627,0.008592321037107775,0.044401730142592306,-0.0249620322330727,1.0,0.061643893454609154,-0.04392210588513595,0.04296160518553895,0.02126595511924682,0.054607398812916486,-0.061957656371062285,-0.016865574552127987,-0.012556533569337018,-0.027720984520953076,-0.008863799356486771,-0.04834221702561103
ramadan,-0.039965836371673745,-0.11662852223635102,-0.03920930205904073,0.14120430362210268,0.07905643338316477,-0.12092910981580057,0.08633361745652351,0.1699133668640326,-0.03668063433879841,-0.007039635615364324,0.003542270626097918,-0.009956660929198892,-0.04099600308453939,-0.0403526082688256,-0.03969992686896008,0.061643893454609154,1.0,-0.0422196101579533,-0.04099600308453936,-0.01127387993559965,0.006174048838565797,0.012729818945709083,-0.004191128087991825,-0.019970067331691755,-0.002320410470509273,-0.014097096860865013,0.05789457255303896
fete_chretienne,-0.10283510625604107,0.0795244668104108,0.0862440653279947,0.04850144967857095,0.0356536357341031,-0.04041546747696748,0.05123387372068361,0.0028072978900299584,0.010671551802317497,-0.008359725610087635,-0.03365220825489522,-0.020176492598842827,0.009094752591420958,0.049828516176085996,0.01241701704892205,-0.04392210588513595,-0.0422196101579533,1.0,-0.010164723484529329,-0.022865657927669918,-0.027087456095350286,0.03837378671941867,-0.0015314027262290965,-0.023714904070255366,-0.01638183443381555,-0.01674061955684909,0.038594318238353534
fete_juive,0.11463223405009294,-0.06154258463048571,-0.045880434407858946,-0.08136862328280903,0.010246343787033447,0.008138016126629037,0.01614026627658248,0.013904863934594754,0.019548872180451156,-0.004906147697825652,-0.01974977550187474,-0.024782557631455603,-0.02857142857142858,-0.028123026101985745,0.03659336168032214,0.04296160518553895,-0.04099600308453936,-0.010164723484529329,1.0,0.06657882386705691,0.06626454494519764,-0.03844454832827547,0.012852098601721243,-0.013917780012784408,-0.0016171684317087076,-0.009824718648648232,0.012529279160886767
porc,-0.008839142667610315,0.007002270832578745,0.009235461321355191,-0.059625550206821684,0.010796920130282047,0.02848890352185535,-0.021389460291889133,-0.050661569653573504,0.013733650820566544,-0.011574613821870897,-0.004144846512178672,0.009713440228303947,0.036804443007255085,-0.021013597135869217,-0.04992823767496464,0.02126595511924682,-0.01127387993559965,-0.022865657927669918,0.06657882386705691,1.0,0.3364414104083302,-0.21893507077492794,0.08480678280172127,-0.03283491220150738,0.010930761610254802,-0.023178536658616047,-0.025775698290910445
viande,0.02772704822277708,-0.028845911711453738,0.04264266349569596,-0.020030883443742754,-0.03210606594227483,0.03812249530840155,-0.04370992452909019,0.03504365146412233,-0.0007699912946467873,-0.032953687614803204,-0.00014871703254565617,0.05819377014450411,0.06626454494519754,0.08364841059276704,-0.16455056204213547,0.054607398812916486,0.006174048838565797,-0.027087456095350286,0.06626454494519764,0.3364414104083302,1.0,-0.655494048038185,0.0033432088519099825,0.051772062209329006,0.12153023678007115,0.021898298988444614,-0.03229129199910062
poisson,0.010135367017663155,-0.011678807006451174,0.05550846741798581,0.004766077453037836,-0.04201785372464129,-0.014818882133195734,0.12388015850676531,0.02581028678358949,-0.04965105634299552,-0.016757684636715155,0.016864581433872136,-0.05756101352492507,-0.014786364741644463,-0.07204381596421114,0.13718428371922436,-0.061957656371062285,0.012729818945709083,0.03837378671941867,-0.03844454832827547,-0.21893507077492794,-0.655494048038185,1.0,0.05187977821043134,-0.023769134427076413,-0.08285522649991606,5.94141618588684e-18,0.14156503761965336
bio,0.05350392556424984,0.006424514030703754,0.16066238711213005,0.10851654871875781,0.01592019476337626,-0.1364506957477355,0.1648147111606592,0.284581154479023,0.026442116740383343,-0.02307213938340251,0.027055550711478523,-0.04430734083879852,0.0023367452003128643,-0.014842652894039458,0.03248312969151874,-0.016865574552127987,-0.004191128087991825,-0.0015314027262290965,0.012852098601721243,0.08480678280172127,0.0033432088519099825,0.05187977821043134,1.0,-0.06545114010831936,0.012631008583209657,-0.04620270159514085,0.16131936914434675
noel,0.1292174208555131,0.028978658243834325,0.0667123501227495,-0.002995674424972701,0.015708282620463337,-0.011229615476773414,0.06229080045166657,0.004118395212918773,0.010621463693967043,-0.002389893952899819,-0.009620556075793993,-0.012072136484406262,-0.013917780012784401,-0.013699353170343102,-0.013477773614818335,-0.012556533569337018,-0.019970067331691755,-0.023714904070255366,-0.013917780012784408,-0.03283491220150738,0.051772062209329006,-0.023769134427076413,-0.06545114010831936,1.0,-0.014967417326634001,-0.004785839549378542,0.057323280724385646
frites,0.019585625405636922,-0.026876178293562397,0.014104381850163817,-0.03358484839152617,-0.05567181968519663,-0.00852270519498239,0.03238019082805051,0.014762033822081926,0.010809494254052948,-0.005276154673518956,-0.021239244460852284,-0.026651583955963502,0.027491863339048014,-0.030243980560807127,0.00025258744221746845,-0.027720984520953076,-0.002320410470509273,-0.01638183443381555,-0.0016171684317087076,0.010930761610254802,0.12153023678007115,-0.08285522649991606,0.012631008583209657,-0.014967417326634001,1.0,-0.010565669524594142,0.053817488293353914
an_chinois,-0.07449875241355453,0.08277222166832848,0.03074894573776689,0.0048029409836370576,0.0007319525081533468,0.03959742224294879,-0.0029669953552907374,-0.041968671147932284,-0.01809816593172045,-0.0016870532272947644,-0.006791259568795979,-0.008521857964303655,0.07859774918918602,-0.00967052866502102,-0.009514113145496805,-0.008863799356486771,-0.014097096860865013,-0.01674061955684909,-0.009824718648648232,-0.023178536658616047,0.021898298988444614,5.94141618588684e-18,-0.04620270159514085,-0.004785839549378542,-0.010565669524594142,1.0,-0.003287312450966205
reel,0.02287704979838894,0.04366719577359651,0.2314208540632451,0.08572326963371509,-0.14759600029855025,-0.3803361117942114,0.9303820616515743,0.4255562205072629,-0.3445334865623357,-0.14970285079878706,-0.012795744538455488,-0.0010822793969459824,-0.047521400525123055,0.016013805592490236,0.025573260619908212,-0.04834221702561103,0.05789457255303896,0.038594318238353534,0.012529279160886767,-0.025775698290910445,-0.03229129199910062,0.14156503761965336,0.16131936914434675,0.057323280724385646,0.053817488293353914,-0.003287312450966205,1.0
